IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123856;Лето;221155;Бежевые туфли на танкетке;замша;замша;98132;натуральная кожа;натуральная кожа;бежевый;бежевый
500123562;Лето;221159;Женские босоножки;замша;замша;98133;натуральная кожа;натуральная кожа;хаки;хаки
500123563;Лето;221159;Серые женские босоножки;замша;замша;98133;натуральная кожа;натуральная кожа;серый;серый
500123895;Лето;221159;Босоножки на каблуке;замша;замша;98133;натуральная кожа;натуральная кожа;черный;черный
500123564;Лето;221159;Кожаные босоножки;натуральная кожа;натуральная кожа;98134;натуральная кожа;натуральная кожа;черный;черный
500123565;Лето;221159;Бежевые женские босоножки;натуральная кожа;натуральная кожа;98134;натуральная кожа;натуральная кожа;бежевый;бежевый
500123571;Всесезонная;221161;Женские туфли из замши;замша;замша;98135;натуральная кожа;натуральная кожа;бледно-розовый;розовый
500123572;Всесезонная;221161;Розовые туфли на каблуке;замша;замша;98135;натуральная кожа;натуральная кожа;розовый;розовый
500123573;Всесезонная;221161;Белые женские туфли;натуральная кожа;натуральная кожа;98135;натуральная кожа;натуральная кожа;белый;белый
500123574;Всесезонная;221161;Замшевые женские туфли;замша;замша;98135;натуральная кожа;натуральная кожа;черный;черный
500123896;Всесезонная;221161;Молочные женские туфли;натуральная кожа;натуральная кожа;98135;натуральная кожа;натуральная кожа;молочный;молочный
500123576;Всесезонная;221162;Женские туфли на шпильке;кожа / лаковая кожа;натуральная кожа;98136;натуральная кожа;натуральная кожа;черный;черный
500123577;Всесезонная;221162;Женские туфли на шпильке;кожа / лаковая кожа;натуральная кожа;98136;натуральная кожа;натуральная кожа;бежевый / черный;бежевый
500123579;Всесезонная;221162;Женские туфли на шпильке;замша;замша;98136;натуральная кожа;натуральная кожа;серый / никель;серый
500123897;Всесезонная;221162;Женские туфли на шпильке;замша / кожа;замша;98136;натуральная кожа;натуральная кожа;черный / серебряный;черный
500123580;Всесезонная;221163;Серые женские туфли;замша;замша;98137;натуральная кожа;натуральная кожа;серый;серый
500123581;Всесезонная;221163;Женские туфли на шпильке;замша;замша;98137;натуральная кожа;натуральная кожа;черный;черный
500123585;Всесезонная;221164;Розовые туфли замша;замша;замша;98138;натуральная кожа;натуральная кожа;розовый;розовый
500123586;Всесезонная;221164;Туфли из натуральной кожи;натуральная кожа;натуральная кожа;98138;натуральная кожа;натуральная кожа;черный;черный
500123857;Лето;221166;Серые замшевые ботильоны;замша;замша;98139;натуральная кожа;натуральная кожа;серый;серый
500123858;Лето;221166;Черные женские ботильоны;замша;замша;98140;натуральная кожа;натуральная кожа;черный;черный
500123900;Лето;221166;Розовые женские ботильоны;замша;замша;98140;натуральная кожа;натуральная кожа;розовый;розовый
500124072;Весна-осень;221166;Черные женские полуботинки;замша;замша;98141;натуральная кожа;натуральная кожа;черный;черный
500124073;Весна-осень;221167;Женские сабо кожа;натуральная кожа;натуральная кожа;98142;натуральная кожа;натуральная кожа;черный;черный
500124074;Весна-осень;221168;Черные женские туфли;натуральная кожа;натуральная кожа;98143;натуральная кожа;натуральная кожа;черный;черный
500124076;Весна-осень;221168;Голубые женские туфли;замша;замша;98144;натуральная кожа;натуральная кожа;голубой;голубой
500124075;Весна-осень;221168;Розовые туфли замша;замша;замша;98144;натуральная кожа;натуральная кожа;розовый;розовый
500124078;Весна-осень;221169;Женские туфли из замши;замша;замша;98145;натуральная кожа;натуральная кожа;черный / черный;черный
500124077;Весна-осень;221169;Женские туфли из замши;замша;замша;98145;натуральная кожа;натуральная кожа;черный / фиолетовый;фиолетовый
500124079;Весна-осень;221170;Женские черные сабо;кожа / текстиль;натуральная кожа;98146;натуральная кожа;натуральная кожа;черный / черный;черный
500124081;Весна-осень;221170;Женские сабо;кожа / текстиль;натуральная кожа;98146;натуральная кожа;натуральная кожа;черный / фиолетовый;фиолетовый
500124080;Весна-осень;221170;Женские сабо;кожа / текстиль;натуральная кожа;98146;натуральная кожа;натуральная кожа;черный / красный;красный
500124082;Весна-осень;221170;Женские сабо;кожа / текстиль;натуральная кожа;98146;натуральная кожа;натуральная кожа;черный / желтый;желтый
500124083;Весна-осень;221171;Голубые женские туфли;натуральная кожа;натуральная кожа;98147;натуральная кожа;натуральная кожа;голубой;голубой
500124084;Весна-осень;221171;Розовые женские туфли;натуральная кожа;натуральная кожа;98147;натуральная кожа;натуральная кожа;розовый;розовый
